class_id,tier,kid,mode,kind,param,magnitude,level,t_frac,t_idx,s,clip_dev,dino_dev,lpips_dev,latmse_dev,equivariance_lpips,clip_pair_cosdist,dino_pair_cosdist,lpips_pair,latent_mse_pair
63,hardest,0.0875,sweep,flip,0.0,0.0,,0.7,75,174,4.172325134277344e-07,4.76837158203125e-07,1.0127992027264554e-06,3.06850438391848e-08,1.0127992027264554e-06,,,,
63,hardest,0.0875,sweep,flip,1.0,1.0,,0.7,75,174,0.05005478858947754,0.07416141033172607,0.6681843996047974,0.9416466951370239,0.2585478723049164,,,,
63,hardest,0.0875,sweep,shear,0.0,0.0,,0.7,75,174,8.344650268554688e-07,4.172325134277344e-07,9.112145562539808e-07,2.6330891245152088e-08,9.112145562539808e-07,,,,
63,hardest,0.0875,sweep,shear,0.05,0.05,,0.7,75,174,0.030974507331848145,0.0347590446472168,0.137498140335083,0.14985813200473785,0.1374339461326599,,,,
63,hardest,0.0875,sweep,shear,0.1,0.1,,0.7,75,174,0.04591095447540283,0.04381072521209717,0.19970610737800598,0.34215694665908813,0.1658153235912323,,,,
63,hardest,0.0875,sweep,shear,0.2,0.2,,0.7,75,174,0.07124686241149902,0.046443819999694824,0.27561622858047485,0.492779016494751,0.19614820182323456,,,,
63,hardest,0.0875,sweep,shear,0.3,0.3,,0.7,75,174,0.053463101387023926,0.05417299270629883,0.34543290734291077,0.5750687122344971,0.22018826007843018,,,,
63,hardest,0.0875,ensemble,shear,,0.1,0.1,0.7,75,174,,,,,,0.028308158740401268,0.021517397835850716,0.10974176973104477,0.19125932455062866
63,hardest,0.0875,ensemble,shear,,0.2,0.2,0.7,75,174,,,,,,0.045677851885557175,0.025646347552537918,0.18301458656787872,0.3417263627052307
63,hardest,0.0875,ensemble,shear,,0.3,0.3,0.7,75,174,,,,,,0.046307165175676346,0.02745230868458748,0.2309008538722992,0.43140968680381775
38,hardest,0.0845,sweep,rotation,0.0,0.0,,0.3,174,75,1.3530254364013672e-05,4.5299530029296875e-06,9.451705409446731e-06,2.355940068810014e-06,9.451705409446731e-06,,,,
38,hardest,0.0845,sweep,rotation,5.0,5.0,,0.3,174,75,0.06631803512573242,0.14757287502288818,0.2813578248023987,0.31633254885673523,0.31981539726257324,,,,
38,hardest,0.0845,sweep,rotation,10.0,10.0,,0.3,174,75,0.06463301181793213,0.1368626356124878,0.27191340923309326,0.3201194107532501,0.3778682351112366,,,,
38,hardest,0.0845,sweep,rotation,20.0,20.0,,0.3,174,75,0.05305761098861694,0.1534469723701477,0.2601218521595001,0.2902454733848572,0.44323891401290894,,,,
38,hardest,0.0845,sweep,rotation,30.0,30.0,,0.3,174,75,0.09018921852111816,0.206823468208313,0.4190549850463867,0.5873041152954102,0.5364429354667664,,,,
38,hardest,0.0845,sweep,rotation,45.0,45.0,,0.3,174,75,0.0900874137878418,0.18637961149215698,0.41742292046546936,0.55482417345047,0.5844325423240662,,,,
38,hardest,0.0845,ensemble,rotation,,10.0,10.0,0.3,174,75,,,,,,0.04309281334280968,0.1346326768398285,0.21921733021736145,0.21666523814201355
38,hardest,0.0845,ensemble,rotation,,20.0,20.0,0.3,174,75,,,,,,0.04647897183895111,0.15922614932060242,0.26795345544815063,0.29644644260406494
38,hardest,0.0845,ensemble,rotation,,30.0,30.0,0.3,174,75,,,,,,0.05876467376947403,0.1795739084482193,0.31470176577568054,0.3850507438182831
38,hardest,0.0845,sweep,translation,0.0,0.0,,0.3,174,75,1.3530254364013672e-05,4.5299530029296875e-06,9.451705409446731e-06,2.355940068810014e-06,9.451705409446731e-06,,,,
