class_id,class_name,difficulty,bin,t_centre,U_ens,U_route,U_attn,U_attn_block0,U_attn_block14,U_attn_block27
387,lesser panda,medium,1,75,0.5428406447172165,,3.6685533750624884,5.404755552609761,3.8490101297696433,3.7315233747164407
387,lesser panda,medium,2,125,0.5002820400091318,,3.722033223935537,5.389023780822754,3.917135293667133,3.8087294835310717
387,lesser panda,medium,3,175,0.4546029170354207,,3.7783986599672406,5.381070335706075,3.984810213247935,3.8722599744796753
387,lesser panda,medium,4,225,0.4081260080520923,,3.829598953108211,5.379448340489314,4.0426955956679125,3.926086187362671
387,lesser panda,medium,5,275,0.3598381926616033,,3.8871522489048185,5.380358139673869,4.109324097633362,3.984234849611918
387,lesser panda,medium,6,325,0.31561147937407863,,3.9444163693831524,5.383815912099985,4.1790134356572075,4.047976750593919
387,lesser panda,medium,7,375,0.27521709849437076,,4.0025529226376895,5.38929037253062,4.237120985984802,4.112848877906799
387,lesser panda,medium,8,425,0.23328423843933985,,4.070714242838242,5.396571012643667,4.321563280545748,4.186388419224666
387,lesser panda,medium,9,475,0.20434129610657692,,4.1297264865466525,5.406262954076131,4.394341230392456,4.269967436790466
387,lesser panda,medium,10,525,0.17623120049635568,,4.203971252554939,5.416902860005696,4.492669502894084,4.381660381952922
387,lesser panda,medium,11,575,0.13101451500104025,,4.296982717055542,5.43014643742488,4.616787103506235,4.560158362755408
387,lesser panda,medium,12,625,0.10419518624742825,,4.386825182608196,5.44360077381134,4.73229722181956,4.803604245185852
387,lesser panda,medium,13,675,0.0721944344158356,,4.502855520327014,5.457953379704402,4.860535218165471,5.102414497962365
387,lesser panda,medium,14,725,0.04006912466138601,,4.6444293079631676,5.471702655156453,4.991828362147014,5.333594799041748
387,lesser panda,medium,15,775,0.027628040227752466,,4.800818838260986,5.483513245215783,5.095673341017503,5.449545383453369
387,lesser panda,medium,16,825,0.015136618244772157,,4.968218467774845,5.4912790060043335,5.196607351303101,5.495742718378703
387,lesser panda,medium,17,875,0.011277956386598257,,5.109271946844164,5.49519656254695,5.285457427685078,5.510203214792105
387,lesser panda,medium,18,925,0.0177040530834347,,5.212316562022481,5.496124108632405,5.357208172480266,5.515162428220113
387,lesser panda,medium,19,975,0.04312944641480079,,5.278003746336633,5.497308034163255,5.4029532212477465,5.516171528742864
388,giant panda,medium,0,25,0.5980724829893845,,3.573812038033873,5.424070798433744,3.7308612970205455,3.5484144871051493
388,giant panda,medium,1,75,0.5672197987635931,,3.6139968530762765,5.3890044291814165,3.773547371228536,3.7026010950406394
388,giant panda,medium,2,125,0.5243799090385437,,3.662690103054046,5.3744312066298265,3.8283309936523438,3.7818636894226074
388,giant panda,medium,3,175,0.4727837070822716,,3.7168955455223713,5.367686311403911,3.887825349966685,3.8480900128682456
388,giant panda,medium,4,225,0.42301597274266756,,3.769468247235477,5.365526052621695,3.949508923750657,3.906130240513728
388,giant panda,medium,5,275,0.37481146802504856,,3.8251285712633813,5.366804679234822,4.012616614500682,3.963342785835266
388,giant panda,medium,6,325,0.33022260207396287,,3.878634747895566,5.3713567440326395,4.06647513462947,4.024212268682627
388,giant panda,medium,7,375,0.2861908401052157,,3.9338328476463045,5.377275586128235,4.123123208681743,4.087986707687378
388,giant panda,medium,8,425,0.24654800387529227,,4.000108094988289,5.385278261624849,4.197293868431678,4.162451560680683
388,giant panda,medium,9,475,0.20946061859528223,,4.068350699331079,5.395027200380961,4.276233156522115,4.249049425125122
388,giant panda,medium,10,525,0.1705293208360672,,4.1485893197712445,5.40641729036967,4.381165107091268,4.363173921902974
388,giant panda,medium,11,575,0.14081320968958047,,4.231661368857373,5.420088694645808,4.488068617307222,4.5329413047203655
388,giant panda,medium,12,625,0.10780155472457409,,4.334106006792613,5.436003963152568,4.621419072151184,4.780962149302165
388,giant panda,medium,13,675,0.08059854977405988,,4.439958315301727,5.45258118556096,4.738212402050312,5.070982492887056
388,giant panda,medium,14,725,0.061945158056914806,,4.57483704068831,5.467719753583272,4.873716155687968,5.305433710416158
388,giant panda,medium,15,775,0.03715311334683345,,4.743734319131454,5.48011878820566,5.021647123190073,5.436947602492112
388,giant panda,medium,16,825,0.02080818312242627,,4.919431873730251,5.488848368326823,5.155372699101766,5.489504297574361
388,giant panda,medium,17,875,0.015293330885469913,,5.072012906546121,5.493439674377441,5.267414203056922,5.505305913778452
388,giant panda,medium,18,925,0.020281311124563217,,5.180808442689123,5.4948190450668335,5.3451099793116255,5.507144212722778
388,giant panda,medium,19,975,0.0436434166935774,,5.2529232397184265,5.495064185215877,5.394425098712627,5.508306613335242
88,macaw,medium,0,25,0.5837764648290781,,3.631523936659425,5.444132328033447,3.7972124906686635,3.557789160655095
88,macaw,medium,1,75,0.5562771360079447,,3.689205970437754,5.4104299147923784,3.865375022093455,3.7245981097221375
88,macaw,medium,2,125,0.5174113695438092,,3.74612173470822,5.394371472872221,3.9363439816694994,3.808396394436176
88,macaw,medium,3,175,0.474764717121919,,3.800562191577184,5.385532100995381,4.000308493773143,3.875963826974233
88,macaw,medium,4,225,0.4313936187670781,,3.8563248115581468,5.381717718564547,4.065566943242,3.937674797498263
88,macaw,medium,5,275,0.38618599126736325,,3.908124253153801,5.38149352868398,4.12226398785909,3.996436337629954
88,macaw,medium,6,325,0.3450540052010463,,3.9598221778869624,5.385092882009653,4.182143284724309,4.057089328765869
88,macaw,medium,7,375,0.3050064370036125,,4.010105789772102,5.390589515368144,4.23870583375295,4.116839607556661
88,macaw,medium,8,425,0.26756675197527957,,4.0681008627781505,5.3986601462731,4.303712661449726,4.187561548673189
88,macaw,medium,9,475,0.23406772563854852,,4.126386159587473,5.409133275349935,4.366393963495891,4.270537972450256
88,macaw,medium,10,525,0.19716259837150574,,4.193094130782854,5.421175003051758,4.44452702999115,4.384074807167053
88,macaw,medium,11,575,0.16616030381276056,,4.259974360138505,5.433722496032715,4.520775171426626,4.542368448697603
88,macaw,medium,12,625,0.1254388876259327,,4.350449947728998,5.448482314745585,4.626214702924092,4.78683869043986
88,macaw,medium,13,675,0.07163723242970613,,4.47566085595351,5.464621580564058,4.7706206028278055,5.098107447991004
88,macaw,medium,14,725,0.03778333899875482,,4.617875847433295,5.478766918182373,4.918923179308574,5.333379030227661
88,macaw,medium,15,775,0.021756672372038547,,4.786130146010891,5.489711761474609,5.068829426398644,5.450298199286828
88,macaw,medium,16,825,0.015033776561419169,,4.956146934202739,5.496756116549174,5.1939670244852705,5.49526047706604
88,macaw,medium,17,875,0.0140475478882973,,5.099874450610234,5.500140263484075,5.289845246535081,5.507827208592341
88,macaw,medium,18,925,0.018738194135949016,,5.203375577926636,5.500863830248515,5.359118700027466,5.512535532315572
88,macaw,medium,19,975,0.03902194964197966,,5.273240232205652,5.501273301931528,5.405155732081487,5.514680972466102
130,flamingo,medium,0,25,0.6046216258635888,,3.607718722833382,5.452773167536809,3.784898959673368,3.5537828298715444
130,flamingo,medium,1,75,0.5777698755264282,,3.657873015673388,5.423408508300781,3.8428865671157837,3.7160784204800925
130,flamingo,medium,2,125,0.5390439400306115,,3.710991892840836,5.409185923062838,3.905458927154541,3.7968314244196963
130,flamingo,medium,3,175,0.49576032410065335,,3.76536575704813,5.401182413101196,3.9705844720204673,3.86061962445577
130,flamingo,medium,4,225,0.45358631244072545,,3.8176050182882237,5.3983857448284445,4.03302368750939,3.91682714682359
130,flamingo,medium,5,275,0.4133814349770546,,3.8679015831578347,5.398335059483846,4.086706876754761,3.9714648127555847
130,flamingo,medium,6,325,0.3729124160913321,,3.9216574577839816,5.400378337273231,4.152223073519194,4.0297537583571215
130,flamingo,medium,7,375,0.33639002839724225,,3.981184273603416,5.402915596961975,4.227440237998962,4.097283045450847
130,flamingo,medium,8,425,0.3056076467037201,,4.04188670692863,5.408194028414213,4.299244257119986,4.1718364128699665
130,flamingo,medium,9,475,0.2753988454739253,,4.102164700982116,5.417332728703816,4.368285616238912,4.251674969991048
130,flamingo,medium,10,525,0.2415358064075311,,4.179497985967568,5.4268808762232466,4.467250347137451,4.364735404650371
130,flamingo,medium,11,575,0.20402039472873396,,4.272837519973189,5.437763250791109,4.57952172939594,4.538014081808237
130,flamingo,medium,12,625,0.1734061042467753,,4.363873832282565,5.450358152389526,4.687732537587483,4.774711052576701
130,flamingo,medium,13,675,0.13151896802278665,,4.46551404091028,5.462986909426176,4.79127392402062,5.0652023095351
130,flamingo,medium,14,725,0.08921285221974055,,4.604738199994679,5.474666078885396,4.940401315689087,5.309956073760986
130,flamingo,medium,15,775,0.055784870798771195,,4.7730502767877265,5.48474671290471,5.088830544398381,5.439682300274189
130,flamingo,medium,16,825,0.03303401901697119,,4.952507122641518,5.491632143656413,5.207549611727397,5.491689443588257
130,flamingo,medium,17,875,0.01833993955873526,,5.103884284312908,5.494698927952693,5.2963331662691555,5.507678288679856
130,flamingo,medium,18,925,0.020639339306702215,,5.208540169965653,5.495633880297343,5.358904282251994,5.511471271514893
130,flamingo,medium,19,975,0.040249098235597976,,5.275887510278722,5.495725008157583,5.3998523858877325,5.512709764333872
145,king penguin,medium,0,25,0.611640833891355,,3.5755284192797907,5.428931016188401,3.7102700563577504,3.56636093213008
145,king penguin,medium,1,75,0.5847986688216528,,3.622602645485174,5.3941142956415815,3.7543636361757913,3.7161951859792075
145,king penguin,medium,2,125,0.548431185575632,,3.6766074627310363,5.377906432518592,3.8133444419273963,3.7971495481637807
145,king penguin,medium,3,175,0.5093596155444781,,3.7277440904151824,5.371026357014974,3.8630244731903076,3.8638515075047812
145,king penguin,medium,4,225,0.470834330870555,,3.7789636496659167,5.370220110966609,3.91876429777879,3.9246633603022647
145,king penguin,medium,5,275,0.43233588337898254,,3.831210275136289,5.372236291567485,3.9748572508494058,3.9841641982396445
145,king penguin,medium,6,325,0.39916064647527844,,3.8774061792499412,5.376687856820913,4.028658169966477,4.042219932262714
145,king penguin,medium,7,375,0.36807578305403393,,3.927206263300919,5.3838456471761065,4.0826782782872515,4.104282379150391
145,king penguin,medium,8,425,0.32782169030262875,,3.9860226888578016,5.39406915811392,4.14851269355187,4.174971103668213
145,king penguin,medium,9,475,0.29561196515957516,,4.051867200150377,5.4052311182022095,4.222942630449931,4.261632482210795
145,king penguin,medium,10,525,0.25814653808871907,,4.131455861741588,5.416005531946818,4.318047920862834,4.3748250007629395
145,king penguin,medium,11,575,0.2246329772930879,,4.222225486904709,5.428895216721755,4.433679250570444,4.543534278869629
